"til_names","CodeNames","CodeNums","FullNames","Names","Depths","counts","Sums"
"DC","DC",1,"\iDacrydium cupressinum","10",10,4,"T"
"DC","DC",1,"\iDacrydium cupressinum","30",30,1,"T"
"DC","DC",1,"\iDacrydium cupressinum","40",40,14,"T"
"DC","DC",1,"\iDacrydium cupressinum","45",45,1,"T"
"DC","DC",1,"\iDacrydium cupressinum","50",50,2,"T"
"DC","DC",1,"\iDacrydium cupressinum","55",55,13,"T"
"DC","DC",1,"\iDacrydium cupressinum","60",60,7,"T"
"DC","DC",1,"\iDacrydium cupressinum","65",65,17,"T"
"DC","DC",1,"\iDacrydium cupressinum","70",70,24,"T"
"DC","DC",1,"\iDacrydium cupressinum","75",75,45,"T"
"DC","DC",1,"\iDacrydium cupressinum","80",80,40,"T"
"DC","DC",1,"\iDacrydium cupressinum","85",85,36,"T"
"DC","DC",1,"\iDacrydium cupressinum","90",90,67,"T"
"DC","DC",1,"\iDacrydium cupressinum","95",95,44,"T"
"DC","DC",1,"\iDacrydium cupressinum","100",100,40,"T"
"DC","DC",1,"\iDacrydium cupressinum","105",105,6,"T"
"DC","DC",1,"\iDacrydium cupressinum","110",110,4,"T"
"DC","DC",1,"\iDacrydium cupressinum","115",115,4,"T"
"DC","DC",1,"\iDacrydium cupressinum","120",120,11,"T"
"DC","DC",1,"\iDacrydium cupressinum","125",125,6,"T"
"DC","DC",1,"\iDacrydium cupressinum","130",130,0.100000001490116,"T"
"DC","DC",1,"\iDacrydium cupressinum","135",135,0,"T"
"DC","DC",1,"\iDacrydium cupressinum","140",140,0,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","10",10,1,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","30",30,0.100000001490116,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","40",40,2,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","45",45,2,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","50",50,0.100000001490116,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","55",55,2,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","60",60,3,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","65",65,3,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","70",70,9,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","75",75,8,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","80",80,9,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","85",85,8,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","90",90,12,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","95",95,3,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","100",100,15,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","105",105,31,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","110",110,16,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","115",115,5,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","120",120,22,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","125",125,21,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","130",130,0.100000001490116,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","135",135,1,"T"
"DD","DD",2,"\iDacrycarpus dacrydioides","140",140,0,"T"
"LB","LB",3,"\iLibocedrus","10",10,0,"T"
"LB","LB",3,"\iLibocedrus","30",30,0,"T"
"LB","LB",3,"\iLibocedrus","40",40,1,"T"
"LB","LB",3,"\iLibocedrus","45",45,0,"T"
"LB","LB",3,"\iLibocedrus","50",50,0,"T"
"LB","LB",3,"\iLibocedrus","55",55,0,"T"
"LB","LB",3,"\iLibocedrus","60",60,0,"T"
"LB","LB",3,"\iLibocedrus","65",65,0,"T"
"LB","LB",3,"\iLibocedrus","70",70,0,"T"
"LB","LB",3,"\iLibocedrus","75",75,0,"T"
"LB","LB",3,"\iLibocedrus","80",80,0,"T"
"LB","LB",3,"\iLibocedrus","85",85,0,"T"
"LB","LB",3,"\iLibocedrus","90",90,0,"T"
"LB","LB",3,"\iLibocedrus","95",95,0,"T"
"LB","LB",3,"\iLibocedrus","100",100,0,"T"
"LB","LB",3,"\iLibocedrus","105",105,0,"T"
"LB","LB",3,"\iLibocedrus","110",110,0,"T"
"LB","LB",3,"\iLibocedrus","115",115,0,"T"
"LB","LB",3,"\iLibocedrus","120",120,0,"T"
"LB","LB",3,"\iLibocedrus","125",125,0,"T"
"LB","LB",3,"\iLibocedrus","130",130,0,"T"
"LB","LB",3,"\iLibocedrus","135",135,0,"T"
"LB","LB",3,"\iLibocedrus","140",140,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","10",10,3,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","30",30,2,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","40",40,1,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","45",45,2,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","50",50,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","55",55,1,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","60",60,1,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","65",65,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","70",70,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","75",75,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","80",80,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","85",85,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","90",90,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","95",95,0,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","100",100,2,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","105",105,1,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","110",110,1,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","115",115,4,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","120",120,5,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","125",125,4,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","130",130,5,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","135",135,1,"T"
"MU","MU",4,"\iMetrosideros\i undiff.","140",140,0,"T"
"NF","NF",5,"\iFuscospora","10",10,68,"T"
"NF","NF",5,"\iFuscospora","30",30,111,"T"
"NF","NF",5,"\iFuscospora","40",40,176,"T"
"NF","NF",5,"\iFuscospora","45",45,171,"T"
"NF","NF",5,"\iFuscospora","50",50,192,"T"
"NF","NF",5,"\iFuscospora","55",55,185,"T"
"NF","NF",5,"\iFuscospora","60",60,248,"T"
"NF","NF",5,"\iFuscospora","65",65,119,"T"
"NF","NF",5,"\iFuscospora","70",70,35,"T"
"NF","NF",5,"\iFuscospora","75",75,69,"T"
"NF","NF",5,"\iFuscospora","80",80,8,"T"
"NF","NF",5,"\iFuscospora","85",85,4,"T"
"NF","NF",5,"\iFuscospora","90",90,0,"T"
"NF","NF",5,"\iFuscospora","95",95,0,"T"
"NF","NF",5,"\iFuscospora","100",100,0.100000001490116,"T"
"NF","NF",5,"\iFuscospora","105",105,0,"T"
"NF","NF",5,"\iFuscospora","110",110,0,"T"
"NF","NF",5,"\iFuscospora","115",115,1,"T"
"NF","NF",5,"\iFuscospora","120",120,0,"T"
"NF","NF",5,"\iFuscospora","125",125,1,"T"
"NF","NF",5,"\iFuscospora","130",130,0,"T"
"NF","NF",5,"\iFuscospora","135",135,0,"T"
"NF","NF",5,"\iFuscospora","140",140,0,"T"
"NM","NM",6,"\iNothofagus menziesii","10",10,28,"T"
"NM","NM",6,"\iNothofagus menziesii","30",30,18,"T"
"NM","NM",6,"\iNothofagus menziesii","40",40,18,"T"
"NM","NM",6,"\iNothofagus menziesii","45",45,18,"T"
"NM","NM",6,"\iNothofagus menziesii","50",50,35,"T"
"NM","NM",6,"\iNothofagus menziesii","55",55,37,"T"
"NM","NM",6,"\iNothofagus menziesii","60",60,33,"T"
"NM","NM",6,"\iNothofagus menziesii","65",65,95,"T"
"NM","NM",6,"\iNothofagus menziesii","70",70,126,"T"
"NM","NM",6,"\iNothofagus menziesii","75",75,169,"T"
"NM","NM",6,"\iNothofagus menziesii","80",80,140,"T"
"NM","NM",6,"\iNothofagus menziesii","85",85,132,"T"
"NM","NM",6,"\iNothofagus menziesii","90",90,18,"T"
"NM","NM",6,"\iNothofagus menziesii","95",95,14,"T"
"NM","NM",6,"\iNothofagus menziesii","100",100,4,"T"
"NM","NM",6,"\iNothofagus menziesii","105",105,0.100000001490116,"T"
"NM","NM",6,"\iNothofagus menziesii","110",110,4,"T"
"NM","NM",6,"\iNothofagus menziesii","115",115,3,"T"
"NM","NM",6,"\iNothofagus menziesii","120",120,2,"T"
"NM","NM",6,"\iNothofagus menziesii","125",125,4,"T"
"NM","NM",6,"\iNothofagus menziesii","130",130,0,"T"
"NM","NM",6,"\iNothofagus menziesii","135",135,0,"T"
"NM","NM",6,"\iNothofagus menziesii","140",140,0,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","10",10,3,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","30",30,4,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","40",40,9,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","45",45,5,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","50",50,4,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","55",55,7,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","60",60,4,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","65",65,26,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","70",70,40,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","75",75,35,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","80",80,56,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","85",85,52,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","90",90,56,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","95",95,80,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","100",100,120,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","105",105,114,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","110",110,47,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","115",115,22,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","120",120,79,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","125",125,63,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","130",130,0,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","135",135,0,"T"
"PF","PF",7,"\iPrumnopitys ferruginea","140",140,0,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","10",10,3,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","30",30,1,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","40",40,5,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","45",45,2,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","50",50,5,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","55",55,5,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","60",60,7,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","65",65,9,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","70",70,17,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","75",75,19,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","80",80,31,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","85",85,32,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","90",90,34,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","95",95,33,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","100",100,52,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","105",105,81,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","110",110,10,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","115",115,7,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","120",120,27,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","125",125,19,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","130",130,0,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","135",135,0,"T"
"PT","PT",8,"\iPrumnopitys taxifolia","140",140,0,"T"
"PD","PD",9,"\iPodocarpus","10",10,1,"T"
"PD","PD",9,"\iPodocarpus","30",30,0,"T"
"PD","PD",9,"\iPodocarpus","40",40,2,"T"
"PD","PD",9,"\iPodocarpus","45",45,1,"T"
"PD","PD",9,"\iPodocarpus","50",50,0,"T"
"PD","PD",9,"\iPodocarpus","55",55,1,"T"
"PD","PD",9,"\iPodocarpus","60",60,0,"T"
"PD","PD",9,"\iPodocarpus","65",65,1,"T"
"PD","PD",9,"\iPodocarpus","70",70,2,"T"
"PD","PD",9,"\iPodocarpus","75",75,1,"T"
"PD","PD",9,"\iPodocarpus","80",80,6,"T"
"PD","PD",9,"\iPodocarpus","85",85,6,"T"
"PD","PD",9,"\iPodocarpus","90",90,4,"T"
"PD","PD",9,"\iPodocarpus","95",95,2,"T"
"PD","PD",9,"\iPodocarpus","100",100,2,"T"
"PD","PD",9,"\iPodocarpus","105",105,5,"T"
"PD","PD",9,"\iPodocarpus","110",110,1,"T"
"PD","PD",9,"\iPodocarpus","115",115,1,"T"
"PD","PD",9,"\iPodocarpus","120",120,1,"T"
"PD","PD",9,"\iPodocarpus","125",125,2,"T"
"PD","PD",9,"\iPodocarpus","130",130,0,"T"
"PD","PD",9,"\iPodocarpus","135",135,0,"T"
"PD","PD",9,"\iPodocarpus","140",140,0,"T"
"LE","LE",10,"\iLepidothamnus","10",10,0,"S"
"LE","LE",10,"\iLepidothamnus","30",30,0,"S"
"LE","LE",10,"\iLepidothamnus","40",40,0,"S"
"LE","LE",10,"\iLepidothamnus","45",45,0.100000001490116,"S"
"LE","LE",10,"\iLepidothamnus","50",50,0,"S"
"LE","LE",10,"\iLepidothamnus","55",55,0,"S"
"LE","LE",10,"\iLepidothamnus","60",60,1,"S"
"LE","LE",10,"\iLepidothamnus","65",65,0,"S"
"LE","LE",10,"\iLepidothamnus","70",70,0,"S"
"LE","LE",10,"\iLepidothamnus","75",75,0,"S"
"LE","LE",10,"\iLepidothamnus","80",80,0,"S"
"LE","LE",10,"\iLepidothamnus","85",85,1,"S"
"LE","LE",10,"\iLepidothamnus","90",90,0,"S"
"LE","LE",10,"\iLepidothamnus","95",95,0,"S"
"LE","LE",10,"\iLepidothamnus","100",100,2,"S"
"LE","LE",10,"\iLepidothamnus","105",105,7,"S"
"LE","LE",10,"\iLepidothamnus","110",110,0,"S"
"LE","LE",10,"\iLepidothamnus","115",115,0,"S"
"LE","LE",10,"\iLepidothamnus","120",120,0,"S"
"LE","LE",10,"\iLepidothamnus","125",125,0,"S"
"LE","LE",10,"\iLepidothamnus","130",130,0,"S"
"LE","LE",10,"\iLepidothamnus","135",135,0,"S"
"LE","LE",10,"\iLepidothamnus","140",140,0,"S"
"WR","WR",11,"\iWeinmannia","10",10,0,"T"
"WR","WR",11,"\iWeinmannia","30",30,2,"T"
"WR","WR",11,"\iWeinmannia","40",40,0,"T"
"WR","WR",11,"\iWeinmannia","45",45,0,"T"
"WR","WR",11,"\iWeinmannia","50",50,1,"T"
"WR","WR",11,"\iWeinmannia","55",55,0,"T"
"WR","WR",11,"\iWeinmannia","60",60,0,"T"
"WR","WR",11,"\iWeinmannia","65",65,0,"T"
"WR","WR",11,"\iWeinmannia","70",70,0,"T"
"WR","WR",11,"\iWeinmannia","75",75,0,"T"
"WR","WR",11,"\iWeinmannia","80",80,0,"T"
"WR","WR",11,"\iWeinmannia","85",85,0,"T"
"WR","WR",11,"\iWeinmannia","90",90,1,"T"
"WR","WR",11,"\iWeinmannia","95",95,1,"T"
"WR","WR",11,"\iWeinmannia","100",100,0,"T"
"WR","WR",11,"\iWeinmannia","105",105,1,"T"
"WR","WR",11,"\iWeinmannia","110",110,2,"T"
"WR","WR",11,"\iWeinmannia","115",115,2,"T"
"WR","WR",11,"\iWeinmannia","120",120,0,"T"
"WR","WR",11,"\iWeinmannia","125",125,0,"T"
"WR","WR",11,"\iWeinmannia","130",130,0,"T"
"WR","WR",11,"\iWeinmannia","135",135,0,"T"
"WR","WR",11,"\iWeinmannia","140",140,0,"T"
"mo","mo",12,"\iMyoporum","10",10,0,"T"
"mo","mo",12,"\iMyoporum","30",30,0,"T"
"mo","mo",12,"\iMyoporum","40",40,0,"T"
"mo","mo",12,"\iMyoporum","45",45,0,"T"
"mo","mo",12,"\iMyoporum","50",50,0,"T"
"mo","mo",12,"\iMyoporum","55",55,0,"T"
"mo","mo",12,"\iMyoporum","60",60,0,"T"
"mo","mo",12,"\iMyoporum","65",65,0,"T"
"mo","mo",12,"\iMyoporum","70",70,0,"T"
"mo","mo",12,"\iMyoporum","75",75,0,"T"
"mo","mo",12,"\iMyoporum","80",80,0,"T"
"mo","mo",12,"\iMyoporum","85",85,0,"T"
"mo","mo",12,"\iMyoporum","90",90,0,"T"
"mo","mo",12,"\iMyoporum","95",95,0,"T"
"mo","mo",12,"\iMyoporum","100",100,0,"T"
"mo","mo",12,"\iMyoporum","105",105,0,"T"
"mo","mo",12,"\iMyoporum","110",110,0,"T"
"mo","mo",12,"\iMyoporum","115",115,0,"T"
"mo","mo",12,"\iMyoporum","120",120,0,"T"
"mo","mo",12,"\iMyoporum","125",125,0,"T"
"mo","mo",12,"\iMyoporum","130",130,0,"T"
"mo","mo",12,"\iMyoporum","135",135,0,"T"
"mo","mo",12,"\iMyoporum","140",140,0,"T"
"AR","AR",13,"\iAristotelia","10",10,0,"S"
"AR","AR",13,"\iAristotelia","30",30,0,"S"
"AR","AR",13,"\iAristotelia","40",40,1,"S"
"AR","AR",13,"\iAristotelia","45",45,0,"S"
"AR","AR",13,"\iAristotelia","50",50,0,"S"
"AR","AR",13,"\iAristotelia","55",55,0,"S"
"AR","AR",13,"\iAristotelia","60",60,0,"S"
"AR","AR",13,"\iAristotelia","65",65,0,"S"
"AR","AR",13,"\iAristotelia","70",70,0.100000001490116,"S"
"AR","AR",13,"\iAristotelia","75",75,0,"S"
"AR","AR",13,"\iAristotelia","80",80,0,"S"
"AR","AR",13,"\iAristotelia","85",85,0,"S"
"AR","AR",13,"\iAristotelia","90",90,2,"S"
"AR","AR",13,"\iAristotelia","95",95,0,"S"
"AR","AR",13,"\iAristotelia","100",100,1,"S"
"AR","AR",13,"\iAristotelia","105",105,5,"S"
"AR","AR",13,"\iAristotelia","110",110,0,"S"
"AR","AR",13,"\iAristotelia","115",115,2,"S"
"AR","AR",13,"\iAristotelia","120",120,0,"S"
"AR","AR",13,"\iAristotelia","125",125,0,"S"
"AR","AR",13,"\iAristotelia","130",130,1,"S"
"AR","AR",13,"\iAristotelia","135",135,1,"S"
"AR","AR",13,"\iAristotelia","140",140,1,"S"
"CS","CS",14,"\iCarpodetus serratus","10",10,0,"T"
"CS","CS",14,"\iCarpodetus serratus","30",30,0,"T"
"CS","CS",14,"\iCarpodetus serratus","40",40,0,"T"
"CS","CS",14,"\iCarpodetus serratus","45",45,0,"T"
"CS","CS",14,"\iCarpodetus serratus","50",50,0,"T"
"CS","CS",14,"\iCarpodetus serratus","55",55,0,"T"
"CS","CS",14,"\iCarpodetus serratus","60",60,0,"T"
"CS","CS",14,"\iCarpodetus serratus","65",65,0,"T"
"CS","CS",14,"\iCarpodetus serratus","70",70,0.100000001490116,"T"
"CS","CS",14,"\iCarpodetus serratus","75",75,1,"T"
"CS","CS",14,"\iCarpodetus serratus","80",80,0,"T"
"CS","CS",14,"\iCarpodetus serratus","85",85,0,"T"
"CS","CS",14,"\iCarpodetus serratus","90",90,0.100000001490116,"T"
"CS","CS",14,"\iCarpodetus serratus","95",95,0.100000001490116,"T"
"CS","CS",14,"\iCarpodetus serratus","100",100,0,"T"
"CS","CS",14,"\iCarpodetus serratus","105",105,0,"T"
"CS","CS",14,"\iCarpodetus serratus","110",110,1,"T"
"CS","CS",14,"\iCarpodetus serratus","115",115,0,"T"
"CS","CS",14,"\iCarpodetus serratus","120",120,0,"T"
"CS","CS",14,"\iCarpodetus serratus","125",125,0,"T"
"CS","CS",14,"\iCarpodetus serratus","130",130,0,"T"
"CS","CS",14,"\iCarpodetus serratus","135",135,0,"T"
"CS","CS",14,"\iCarpodetus serratus","140",140,0,"T"
"CD","CD",15,"\iCordyline","10",10,0,"T"
"CD","CD",15,"\iCordyline","30",30,0,"T"
"CD","CD",15,"\iCordyline","40",40,0,"T"
"CD","CD",15,"\iCordyline","45",45,0,"T"
"CD","CD",15,"\iCordyline","50",50,0,"T"
"CD","CD",15,"\iCordyline","55",55,0,"T"
"CD","CD",15,"\iCordyline","60",60,0,"T"
"CD","CD",15,"\iCordyline","65",65,0,"T"
"CD","CD",15,"\iCordyline","70",70,0,"T"
"CD","CD",15,"\iCordyline","75",75,0,"T"
"CD","CD",15,"\iCordyline","80",80,0,"T"
"CD","CD",15,"\iCordyline","85",85,0,"T"
"CD","CD",15,"\iCordyline","90",90,0,"T"
"CD","CD",15,"\iCordyline","95",95,0,"T"
"CD","CD",15,"\iCordyline","100",100,0,"T"
"CD","CD",15,"\iCordyline","105",105,0,"T"
"CD","CD",15,"\iCordyline","110",110,0,"T"
"CD","CD",15,"\iCordyline","115",115,0,"T"
"CD","CD",15,"\iCordyline","120",120,0,"T"
"CD","CD",15,"\iCordyline","125",125,0,"T"
"CD","CD",15,"\iCordyline","130",130,0,"T"
"CD","CD",15,"\iCordyline","135",135,0,"T"
"CD","CD",15,"\iCordyline","140",140,0,"T"
"AL","AL",16,"\iAscarina lucida","10",10,0,"S"
"AL","AL",16,"\iAscarina lucida","30",30,0,"S"
"AL","AL",16,"\iAscarina lucida","40",40,0,"S"
"AL","AL",16,"\iAscarina lucida","45",45,0,"S"
"AL","AL",16,"\iAscarina lucida","50",50,0,"S"
"AL","AL",16,"\iAscarina lucida","55",55,0,"S"
"AL","AL",16,"\iAscarina lucida","60",60,0,"S"
"AL","AL",16,"\iAscarina lucida","65",65,0,"S"
"AL","AL",16,"\iAscarina lucida","70",70,0,"S"
"AL","AL",16,"\iAscarina lucida","75",75,0,"S"
"AL","AL",16,"\iAscarina lucida","80",80,0,"S"
"AL","AL",16,"\iAscarina lucida","85",85,0,"S"
"AL","AL",16,"\iAscarina lucida","90",90,0.100000001490116,"S"
"AL","AL",16,"\iAscarina lucida","95",95,0,"S"
"AL","AL",16,"\iAscarina lucida","100",100,0,"S"
"AL","AL",16,"\iAscarina lucida","105",105,0,"S"
"AL","AL",16,"\iAscarina lucida","110",110,0,"S"
"AL","AL",16,"\iAscarina lucida","115",115,0,"S"
"AL","AL",16,"\iAscarina lucida","120",120,0,"S"
"AL","AL",16,"\iAscarina lucida","125",125,0,"S"
"AL","AL",16,"\iAscarina lucida","130",130,0,"S"
"AL","AL",16,"\iAscarina lucida","135",135,0,"S"
"AL","AL",16,"\iAscarina lucida","140",140,0,"S"
"DO","DO",17,"\iDodonaea viscosa","10",10,0,"S"
"DO","DO",17,"\iDodonaea viscosa","30",30,0,"S"
"DO","DO",17,"\iDodonaea viscosa","40",40,0,"S"
"DO","DO",17,"\iDodonaea viscosa","45",45,0,"S"
"DO","DO",17,"\iDodonaea viscosa","50",50,0,"S"
"DO","DO",17,"\iDodonaea viscosa","55",55,0,"S"
"DO","DO",17,"\iDodonaea viscosa","60",60,0,"S"
"DO","DO",17,"\iDodonaea viscosa","65",65,0,"S"
"DO","DO",17,"\iDodonaea viscosa","70",70,0,"S"
"DO","DO",17,"\iDodonaea viscosa","75",75,0,"S"
"DO","DO",17,"\iDodonaea viscosa","80",80,0,"S"
"DO","DO",17,"\iDodonaea viscosa","85",85,0,"S"
"DO","DO",17,"\iDodonaea viscosa","90",90,0,"S"
"DO","DO",17,"\iDodonaea viscosa","95",95,0,"S"
"DO","DO",17,"\iDodonaea viscosa","100",100,0,"S"
"DO","DO",17,"\iDodonaea viscosa","105",105,0,"S"
"DO","DO",17,"\iDodonaea viscosa","110",110,0,"S"
"DO","DO",17,"\iDodonaea viscosa","115",115,0,"S"
"DO","DO",17,"\iDodonaea viscosa","120",120,0,"S"
"DO","DO",17,"\iDodonaea viscosa","125",125,0,"S"
"DO","DO",17,"\iDodonaea viscosa","130",130,0,"S"
"DO","DO",17,"\iDodonaea viscosa","135",135,0,"S"
"DO","DO",17,"\iDodonaea viscosa","140",140,0,"S"
"EL","EL",18,"\iElaeocarpus","10",10,0,"T"
"EL","EL",18,"\iElaeocarpus","30",30,0,"T"
"EL","EL",18,"\iElaeocarpus","40",40,0,"T"
"EL","EL",18,"\iElaeocarpus","45",45,0,"T"
"EL","EL",18,"\iElaeocarpus","50",50,0,"T"
"EL","EL",18,"\iElaeocarpus","55",55,0,"T"
"EL","EL",18,"\iElaeocarpus","60",60,1,"T"
"EL","EL",18,"\iElaeocarpus","65",65,0,"T"
"EL","EL",18,"\iElaeocarpus","70",70,2,"T"
"EL","EL",18,"\iElaeocarpus","75",75,5,"T"
"EL","EL",18,"\iElaeocarpus","80",80,11,"T"
"EL","EL",18,"\iElaeocarpus","85",85,3,"T"
"EL","EL",18,"\iElaeocarpus","90",90,10,"T"
"EL","EL",18,"\iElaeocarpus","95",95,10,"T"
"EL","EL",18,"\iElaeocarpus","100",100,22,"T"
"EL","EL",18,"\iElaeocarpus","105",105,14,"T"
"EL","EL",18,"\iElaeocarpus","110",110,9,"T"
"EL","EL",18,"\iElaeocarpus","115",115,8,"T"
"EL","EL",18,"\iElaeocarpus","120",120,5,"T"
"EL","EL",18,"\iElaeocarpus","125",125,3,"T"
"EL","EL",18,"\iElaeocarpus","130",130,1,"T"
"EL","EL",18,"\iElaeocarpus","135",135,0,"T"
"EL","EL",18,"\iElaeocarpus","140",140,0,"T"
"GR","GR",19,"\iGriselinia","10",10,0,"S"
"GR","GR",19,"\iGriselinia","30",30,0,"S"
"GR","GR",19,"\iGriselinia","40",40,0,"S"
"GR","GR",19,"\iGriselinia","45",45,0,"S"
"GR","GR",19,"\iGriselinia","50",50,0,"S"
"GR","GR",19,"\iGriselinia","55",55,0,"S"
"GR","GR",19,"\iGriselinia","60",60,0,"S"
"GR","GR",19,"\iGriselinia","65",65,0,"S"
"GR","GR",19,"\iGriselinia","70",70,1,"S"
"GR","GR",19,"\iGriselinia","75",75,0.100000001490116,"S"
"GR","GR",19,"\iGriselinia","80",80,0,"S"
"GR","GR",19,"\iGriselinia","85",85,0,"S"
"GR","GR",19,"\iGriselinia","90",90,0,"S"
"GR","GR",19,"\iGriselinia","95",95,3,"S"
"GR","GR",19,"\iGriselinia","100",100,0,"S"
"GR","GR",19,"\iGriselinia","105",105,0,"S"
"GR","GR",19,"\iGriselinia","110",110,1,"S"
"GR","GR",19,"\iGriselinia","115",115,0,"S"
"GR","GR",19,"\iGriselinia","120",120,0,"S"
"GR","GR",19,"\iGriselinia","125",125,0,"S"
"GR","GR",19,"\iGriselinia","130",130,0.100000001490116,"S"
"GR","GR",19,"\iGriselinia","135",135,1,"S"
"GR","GR",19,"\iGriselinia","140",140,0,"S"
"HC","HC",20,"\iHalocarpus","10",10,53,"S"
"HC","HC",20,"\iHalocarpus","30",30,13,"S"
"HC","HC",20,"\iHalocarpus","40",40,1,"S"
"HC","HC",20,"\iHalocarpus","45",45,3,"S"
"HC","HC",20,"\iHalocarpus","50",50,0,"S"
"HC","HC",20,"\iHalocarpus","55",55,0,"S"
"HC","HC",20,"\iHalocarpus","60",60,0,"S"
"HC","HC",20,"\iHalocarpus","65",65,0,"S"
"HC","HC",20,"\iHalocarpus","70",70,0,"S"
"HC","HC",20,"\iHalocarpus","75",75,0,"S"
"HC","HC",20,"\iHalocarpus","80",80,0,"S"
"HC","HC",20,"\iHalocarpus","85",85,0,"S"
"HC","HC",20,"\iHalocarpus","90",90,0,"S"
